2021-12-14 22:41:47 profit turun 0:00:08.139457 
2021-12-14 22:42:48 sales turun 0:00:07.165032 
2021-12-14 22:46:49 sales turun 0:00:05.167272 
2021-12-14 22:47:24 sales turun 0:00:06.910800 
2021-12-14 22:47:47 sales turun 0:00:05.417449 
2021-12-14 22:48:00 sales turun 0:00:06.710441 
2021-12-14 22:51:25 sales turun 0:00:05.088805 
2021-12-14 23:18:36 sales turun 0:00:06.570217 
2021-12-14 23:19:23 sales turun 0:00:05.301530 
2021-12-14 23:24:03 sales turun 0:00:05.157709 
2021-12-14 23:24:09 sales turun 0:00:05.166759 
2021-12-14 23:29:58 sales turun 0:00:05.223306 
2021-12-14 23:30:45 sales turun 0:00:05.548946 
2021-12-14 23:31:01 sales turun 0:00:05.079127 
2021-12-14 23:32:39 sales turun 0:00:05.444004 
2021-12-14 23:33:00 sales naik 0:00:05.140596 
2021-12-14 23:33:49 sales naik 0:00:05.860443 
2021-12-14 23:34:06 sales turun 0:00:05.732354 
2021-12-14 23:35:23 sales turun 0:00:05.140607 
2021-12-14 23:54:04 sales turun 0:00:07.397964 
2021-12-15 05:22:40 quantity turun 0:00:06.521249 
2021-12-15 05:23:25 quantity naik 0:00:06.481783 
2021-12-15 05:24:07 quantity naik 0:00:06.395414 
2021-12-15 05:25:12 quantity naik 0:00:05.653041 
2021-12-15 05:28:43 qwerty naik 0:00:00.000989 
2021-12-15 05:31:56 qwerty naik 0:00:00.000993 
2021-12-15 05:32:11 qwerty naik 0:00:00.001000 
2021-12-15 05:33:06 qwerty naik 0:00:00 
2021-12-15 05:33:23 qwerty naik 0:00:00.001000 
2021-12-15 05:33:47 qwerty turun 0:00:00.000984 
2021-12-15 05:34:03 qwerty turun 0:00:00.000987 
2021-12-15 05:35:18 segment naik 0:00:01.948393 
2021-12-15 05:53:02 sales naik 0:00:03.124116 
2021-12-15 05:53:21 sales naik 0:00:03.246515 
2021-12-15 05:53:25 sales naik 0:00:03.129789 
2021-12-15 05:53:29 sales naik 0:00:03.271820 
2021-12-15 05:54:06 sales naik 0:00:03.121241 
2021-12-15 05:55:04 sales naik 0:00:03.170096 
2021-12-15 06:01:55 segment turun 0:00:01.943358 
2021-12-15 06:05:46 order_date turun 0:00:03.066824 
2021-12-15 13:37:14 order_date turun 0:00:03.027533 
2021-12-15 13:39:17 order_date turun 0:00:03.014057 
2021-12-15 23:10:28 Kolom 1 naik 0:00:00 
2021-12-15 23:10:28 Kolom 1 naik 0:00:00 
2021-12-15 23:10:28 Kolom 1 naik 0:00:00 
2021-12-15 23:10:28 Kolom 1 naik 0:00:00 
2021-12-15 23:10:28 Kolom 1 naik 0:00:00 
2021-12-15 23:10:28 Kolom 1 naik 0:00:00 
2021-12-15 23:10:28 Kolom 1 naik 0:00:00 
2021-12-15 23:10:28 Kolom 1 naik 0:00:00 
2021-12-15 23:10:28 Kolom 1 naik 0:00:00 
2021-12-15 23:10:28 Kolom 1 naik 0:00:00 
2021-12-15 23:10:28 Kolom 1 naik 0:00:00 
2021-12-15 23:10:28 Kolom 1 naik 0:00:00 
2021-12-15 23:10:28 Kolom 1 naik 0:00:00 
2021-12-15 23:10:28 Kolom 1 naik 0:00:00 
2021-12-15 23:10:28 Kolom 1 naik 0:00:00.008003 
2021-12-15 23:10:28 Kolom 1 naik 0:00:00 
2021-12-15 23:10:28 Kolom 1 naik 0:00:00 
2021-12-15 23:10:28 Kolom 1 naik 0:00:00 
2021-12-15 23:10:28 Kolom 1 naik 0:00:00 
2021-12-15 23:10:28 Kolom 1 naik 0:00:00 
2021-12-15 23:10:28 Kolom 1 naik 0:00:00 
2021-12-15 23:10:28 Kolom 1 naik 0:00:00 
2021-12-15 23:10:28 Kolom 1 naik 0:00:00 
2021-12-15 23:10:28 Kolom 1 naik 0:00:00 
2021-12-15 23:10:28 Kolom 1 naik 0:00:00 
2021-12-15 23:10:28 Kolom 1 naik 0:00:00 
2021-12-15 23:10:28 Kolom 1 naik 0:00:00 
2021-12-15 23:10:28 Kolom 1 naik 0:00:00 
2021-12-15 23:10:28 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00.008001 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00.016000 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:29 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00.008001 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00.008000 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:30 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00.008001 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
2021-12-15 23:10:31 Kolom 1 naik 0:00:00 
